trip_date,total_revenue_cad,total_idle_minutes
2025-06-03,4243526.11,3406381.4
2025-06-04,4643703.37,3780617.24
2025-06-05,5186486.39,3405892.57
2025-06-06,5499841.7,1988187.17
2025-06-07,6405651.62,2293319.8
2025-06-08,4989581.61,2362606.29
2025-06-09,3954116.76,3499738.86
2025-06-10,4421759.15,3760261.85
2025-06-11,4688614.59,3515169.53
2025-06-12,5251533.87,3664558.26
2025-06-13,5643911.54,3583061.5
2025-06-14,6332403.16,3325308.95
2025-06-15,4952926.45,2662413.55
2025-06-16,3987022.68,3307684.67
2025-06-17,4476497.87,3583683.89
2025-06-18,4949722.56,3733023.33
2025-06-19,5307605.61,3690580.19
2025-06-20,5654542.84,3614819.87
2025-06-21,6371738.99,3617997.19
2025-06-22,5538013.87,2471055.45
2025-06-23,4448490.23,2703558.97
2025-06-24,4919129.59,2917547.24
2025-06-25,4849280.14,3372833.01
2025-06-26,5032948.72,3555197.56
2025-06-27,5146057.28,3852745.5
2025-06-28,5743198.77,3867180.63
2025-06-29,5184933.04,2857089.86
2025-06-30,4233474.43,3173558.24
2025-07-01,3446777.89,2941733.5
2025-07-02,4144188.1,3973883.94
2025-07-03,4119407.71,4615706.26
2025-07-04,4821058.21,4446376.91
2025-07-05,5866596.64,4178168.67
2025-07-06,4826123.06,3294637.62
2025-07-07,4031409.25,3946319.17
2025-07-08,4359339.66,4356996.2
2025-07-09,4324447.2,4535448.78
2025-07-10,4623934.09,4434329.22
2025-07-11,5469311.29,4143988.03
2025-07-12,6531410.94,3677950.03
2025-07-13,5120179.84,3161477.13
2025-07-14,3987153.9,3635926.24
2025-07-15,4303415.99,4003264.32
2025-07-16,4397442.15,4205450.26
2025-07-17,4896836.27,4265591.7
2025-07-18,5334020.71,4074744.85
2025-07-19,6098832.35,3945673.03
2025-07-20,5062944.62,3221762.16
2025-07-21,4110042.71,3769594.63
2025-07-22,4506067.24,4161121.11
2025-07-23,4806379.81,4097308.73
2025-07-24,5232439.74,3839709.83
2025-07-25,5306085.2,4405165.43
2025-07-26,6774247.42,3807072.42
2025-07-27,5354795.09,3213110.17
2025-07-28,4275100.24,3610936.47
2025-07-29,4438584.68,4058899.93
2025-07-30,4639429.29,4232890.03
2025-07-31,5072071.82,4007617.79
2025-08-01,5698103.39,3856887.69
2025-08-02,6116088.45,4305590.57
2025-08-03,5506806.15,3619053.91
2025-08-04,3914350.93,3206147.54
2025-08-05,3985597.6,3749897.29
2025-08-06,4070499.83,4664940.28
2025-08-07,4596147.5,4622564.32
2025-08-08,5315426.36,4414908.76
2025-08-09,5799906.17,4348670.85
2025-08-10,4701247.1,3514805.49
2025-08-11,4097751.38,3806045.56
2025-08-12,4441465.54,4046203.01
2025-08-13,4621110.99,4224900.61
2025-08-14,4907805.72,4131781.07
2025-08-15,5288162.34,4289404.01
2025-08-16,6015623.71,4241181.87
2025-08-17,4859848.79,3627981.65
2025-08-18,3820426.54,3964124.35
2025-08-19,4750199.89,4031736.97
2025-08-20,4794198.47,4323252.32
2025-08-21,4961350.88,4198848.84
2025-08-22,5449098.2,4148500.98
2025-08-23,6041508.15,4264860.25
2025-08-24,5453002.93,3424060.11
2025-08-25,4519628.51,3651765.3
2025-08-26,4486534.62,4006780.64
2025-08-27,4418040.97,4193183.18
2025-08-28,4860881.99,3978428.62
2025-08-29,5507953.37,3915162.03
2025-08-30,5769168.01,4178895.93
2025-08-31,5475760.38,3146358.13
2025-09-01,3784062.11,2792039.83
2025-09-02,4102725.91,3805465.97
2025-09-03,4435527.36,4345694.07
2025-09-04,5391125.51,4413125.77
2025-09-05,5849055.58,4265284.0
2025-09-06,6128010.38,4580832.91
2025-09-07,4726074.5,3884741.53
2025-09-08,4213761.18,3875226.43
2025-09-09,4535448.95,4126015.12
2025-09-10,4935151.09,4194107.15
2025-09-11,5235061.75,4047674.07
2025-09-12,5494725.52,4195627.19
2025-09-13,6262915.9,3983745.48
2025-09-14,5099041.62,3279004.16
2025-09-15,4057024.13,3904782.26
2025-09-16,4358431.93,4231740.73
2025-09-17,4574994.82,4432091.27
2025-09-18,4974243.01,4330092.99
2025-09-19,5554238.98,4217648.52
2025-09-20,6139756.92,4318392.22
2025-09-21,4987101.35,3461335.6
2025-09-22,4149577.16,4017769.16
2025-09-23,4542568.08,4191653.1
2025-09-24,4543389.73,4590216.03
2025-09-25,5536314.95,4016343.14
2025-09-26,5709777.5,4068215.6
2025-09-27,6825878.17,3707763.72
2025-09-28,5261497.9,3219714.47
2025-09-29,4238838.99,3609111.84
2025-09-30,4227479.32,4079375.77
2025-10-01,4435151.46,4127393.64
2025-10-02,4657036.09,4444665.67
2025-10-03,5427948.48,4247528.41
2025-10-04,6117343.43,4325039.46
2025-10-05,5128773.07,3480656.41
2025-10-06,4154502.09,3810329.54
2025-10-07,4552931.67,4254099.18
2025-10-08,4725572.04,4183348.71
2025-10-09,4951000.56,4043322.8
2025-10-10,5413318.89,3913684.26
2025-10-11,5147630.93,4889866.22
2025-10-12,4736165.12,3833891.83
2025-10-13,3393614.62,3230807.93
2025-10-14,4279115.88,3988706.81
2025-10-15,4505222.69,4155628.2
2025-10-16,4939604.19,4041521.75
2025-10-17,5794260.9,3652535.62
2025-10-18,6089591.02,3978662.07
2025-10-19,5167269.11,3353135.86
2025-10-20,4573701.86,3231170.51
2025-10-21,4694385.64,3490710.17
2025-10-22,4844370.5,3742233.77
2025-10-23,5199852.73,3821411.58
2025-10-24,5862804.11,3849707.47
2025-10-25,6528132.62,3998759.81
2025-10-26,5238158.59,3061373.74
2025-10-27,4353571.95,3549391.51
2025-10-28,4634025.9,3820723.3
2025-10-29,4747404.29,3909431.88
2025-10-30,5609888.22,3655984.87
2025-10-31,7000678.65,3159118.74
2025-11-01,8536234.0,3812623.89
2025-11-02,5956739.45,3258095.47
2025-11-03,4213023.4,3564446.69
2025-11-04,4329587.39,3768368.58
2025-11-05,4709870.36,4036915.39
2025-11-06,4871940.38,4129233.98
2025-11-07,5306564.5,4415861.62
2025-11-08,5745926.25,4334713.79
2025-11-09,4840965.26,2690740.31
2025-11-10,4441771.34,2699633.68
2025-11-11,4370923.16,3537307.87
2025-11-12,4667170.09,3894413.63
2025-11-13,5368086.33,3618641.54
2025-11-14,5480309.11,3863789.89
2025-11-15,6117400.87,4044339.16
2025-11-16,4586958.21,3445564.56
2025-11-17,4069390.89,3776204.84
2025-11-18,4334617.57,3956899.06
2025-11-19,4525430.11,4043212.08
2025-11-20,5074873.61,3887317.28
2025-11-21,5497350.77,3929801.57
2025-11-22,5782079.82,4184346.73
2025-11-23,4559624.26,3349600.2
2025-11-24,3948436.46,3836963.49
2025-11-25,4665687.08,3642931.73
2025-11-26,4857147.82,3817673.73
2025-11-27,5230752.85,3687686.7
2025-11-28,6113305.88,3123116.31
2025-11-29,6215383.58,3687865.36
2025-11-30,4897783.68,2861904.48
2025-12-01,4214357.09,3346922.36
2025-12-02,4784695.56,3456002.67
2025-12-03,5155141.37,3697035.26
2025-12-04,6377146.32,3218739.39
2025-12-05,6654079.02,3281209.05
2025-12-06,7044033.1,3645728.27
2025-12-07,5053367.4,3204909.43
2025-12-08,4537550.65,3142993.73
2025-12-09,5164616.2,3154672.75
2025-12-10,6032909.34,2585705.05
2025-12-11,7097065.45,2550980.86
2025-12-12,7393093.56,2334850.31
2025-12-13,8091773.51,2497822.27
2025-12-14,5850163.69,2332800.79
2025-12-15,4664242.64,2230207.19
2025-12-16,5019442.96,2678808.87
2025-12-17,5187527.42,2789270.46
2025-12-18,5661159.36,2816092.86
2025-12-19,6579385.08,2961102.7
2025-12-20,6562991.76,3445067.62
2025-12-21,5145889.73,2834936.92
2025-12-22,4285894.55,2770842.34
2025-12-23,4691478.39,2833002.29
2025-12-24,4483653.0,3232362.57
2025-12-25,3485220.71,2620687.79
2025-12-26,3912617.81,2093396.52
2025-12-27,4763626.4,3263119.86
2025-12-28,4644836.11,2639128.39
2025-12-29,3881525.51,3105102.44
2025-12-30,4088642.33,3509052.12
2025-12-31,6065630.18,3713778.84
