trip_date,total_pooled_trips,total_trips,pool_efficiency_pct
2025-04-10,9977,249207,4.003499099142481
2025-04-11,10095,267085,3.779695602523541
2025-04-12,10009,277868,3.6020700476485237
2025-04-13,8720,219656,3.9698437556907162
2025-04-14,6736,188337,3.5765675358532847
2025-04-15,7911,218908,3.61384691285837
2025-04-16,8502,227135,3.7431483478988268
2025-04-17,9741,265352,3.6709728963791495
2025-04-18,7141,207970,3.4336683175458003
2025-04-19,8385,244563,3.4285644189840654
2025-04-20,8202,207155,3.9593541068282203
2025-04-21,6232,182860,3.4080717488789234
2025-04-22,7268,212960,3.412847483095417
2025-04-23,7484,218727,3.421616901434208
2025-04-24,8027,236293,3.3970536579585513
2025-04-25,9144,266001,3.4375810617253317
2025-04-26,10481,296479,3.53515763342429
2025-04-27,9595,228594,4.197398006946814
2025-04-28,7299,203138,3.5931238862251274
2025-04-29,8412,229643,3.6630770369660732
2025-04-30,8454,235963,3.582765094527532
2025-05-01,10266,267280,3.8409158934450764
2025-05-02,9228,260770,3.538750623154504
2025-05-03,9368,275824,3.3963686988804453
2025-05-04,9231,227684,4.054303332689166
2025-05-05,6917,204378,3.384415152315807
2025-05-06,6909,211858,3.2611466170737007
2025-05-07,8779,225458,3.893851626467014
2025-05-08,9256,237355,3.8996439931747804
2025-05-09,10652,268655,3.964936442649495
2025-05-10,11058,280931,3.936197856413141
2025-05-11,9972,226383,4.404924398033421
2025-05-12,8087,198666,4.07065124379612
2025-05-13,8807,220769,3.9892376194121457
2025-05-14,8865,230667,3.843202538724655
2025-05-15,9371,240846,3.890868023550319
2025-05-16,10704,268190,3.9912002684663856
2025-05-17,11049,265823,4.156525206622452
2025-05-18,10438,240091,4.3475182326701125
2025-05-19,6197,164485,3.7675167948445143
2025-05-20,11664,204041,5.716498154782617
2025-05-21,8077,257669,3.134641730281873
2025-05-22,6936,266256,2.6050117180457906
2025-05-23,5842,270453,2.160079570202586
2025-05-24,6808,292720,2.3257720688712764
2025-05-25,7628,244479,3.1201043852437222
2025-05-29,7227,247843,2.915958893331666
2025-05-30,8582,279028,3.075676992989951
2025-05-31,10097,288431,3.500663936955459
2025-06-01,9424,224324,4.201066314794672
2025-06-02,7482,197774,3.7831059694398657
2025-06-03,8200,213798,3.8353960280264547
2025-06-04,8490,231192,3.672272396968753
2025-06-05,8915,253971,3.5102432954943676
2025-06-06,10614,267031,3.974819402990664
2025-06-07,11578,295502,3.9180783886403474
2025-06-08,9886,232945,4.243920238682951
2025-06-09,7228,201074,3.5946964799029217
2025-06-10,7439,219030,3.3963384011322653
2025-06-11,7383,230957,3.1966989526188856
2025-06-12,7560,252006,2.999928573129211
2025-06-13,8430,278951,3.0220361282088968
2025-06-14,8429,293636,2.870560830415889
2025-06-15,7591,227706,3.3336846635573942
2025-06-16,6588,202790,3.2486809014251197
2025-06-17,6934,221983,3.123662622813459
2025-06-18,8238,243773,3.3793734334811485
2025-06-19,8273,258841,3.1961706221193706
2025-06-20,9481,280996,3.374069381770559
2025-06-21,9890,298523,3.3129775595180275
2025-06-22,10434,261214,3.9944260261701134
2025-06-23,8386,229709,3.6507058931082375
2025-06-24,8904,249830,3.564023536004483
2025-06-25,8397,242237,3.466439891511206
2025-06-26,9045,255601,3.538718549614438
2025-06-27,9359,266923,3.506254612753491
2025-06-28,9152,281403,3.2522752067319827
2025-06-29,8619,246814,3.4921033652872207
2025-06-30,6638,224675,2.9544898186269055
